"Trap.Station.Name","species_lower_case","Total_Detections","Nights","Elephant_Presence","RAI","dist_from_camp_sc","canopy_cover_mean_1000m_buffer"
"Site 5","Giraffe",0,68,"No elephant",0,0.386300814156665,3.721933043
"Site 5","Warthog",0,68,"No elephant",0,0.386300814156665,3.721933043
"Site 5","Bushpig",0,68,"No elephant",0,0.386300814156665,3.721933043
"Site 5","Plains zebra",0,68,"No elephant",0,0.386300814156665,3.721933043
"Site 5","Bush duiker",0,68,"No elephant",0,0.386300814156665,3.721933043
"Site 6","Giraffe",0,139,"No elephant",0,-0.867355101873407,5.300050653
"Site 6","Kirk's dik-dik",115,139,"No elephant",82.7338129496403,-0.867355101873407,5.300050653
"Site 6","Eland",0,139,"No elephant",0,-0.867355101873407,5.300050653
"Site 6","Impala",10,139,"No elephant",7.19424460431655,-0.867355101873407,5.300050653
"Site 6","Klipspringer",0,139,"No elephant",0,-0.867355101873407,5.300050653
"Site 6","Warthog",0,139,"No elephant",0,-0.867355101873407,5.300050653
"Site 6","Bushpig",2,139,"No elephant",1.43884892086331,-0.867355101873407,5.300050653
"Site 6","Bushbuck",7,139,"No elephant",5.03597122302158,-0.867355101873407,5.300050653
"Site 6","Plains zebra",0,139,"No elephant",0,-0.867355101873407,5.300050653
"Site 6","Greater kudu",4,139,"No elephant",2.87769784172662,-0.867355101873407,5.300050653
"Site 6","Bush duiker",1,139,"No elephant",0.719424460431655,-0.867355101873407,5.300050653
"Site 7","Impala",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Kirk's dik-dik",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Bush duiker",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Plains zebra",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Greater kudu",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Bushpig",4,108,"No elephant",3.7037037037037,-0.842758210596037,8.708501284
"Site 7","Eland",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Klipspringer",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Bushbuck",1,108,"No elephant",0.925925925925926,-0.842758210596037,8.708501284
"Site 7","Giraffe",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 7","Warthog",0,108,"No elephant",0,-0.842758210596037,8.708501284
"Site 8","Eland",0,139,"No elephant",0,0.442840104919806,7.093675013
"Site 8","Greater kudu",6,139,"No elephant",4.31654676258993,0.442840104919806,7.093675013
"Site 8","Bushbuck",0,139,"No elephant",0,0.442840104919806,7.093675013
"Site 8","Plains zebra",1,139,"No elephant",0.719424460431655,0.442840104919806,7.093675013
"Site 8","Warthog",0,139,"No elephant",0,0.442840104919806,7.093675013
"Site 8","Impala",5,139,"No elephant",3.59712230215827,0.442840104919806,7.093675013
"Site 8","Giraffe",1,139,"No elephant",0.719424460431655,0.442840104919806,7.093675013
"Site 8","Klipspringer",0,139,"No elephant",0,0.442840104919806,7.093675013
"Site 8","Kirk's dik-dik",70,139,"No elephant",50.3597122302158,0.442840104919806,7.093675013
"Site 8","Bush duiker",0,139,"No elephant",0,0.442840104919806,7.093675013
"Site 8","Bushpig",1,139,"No elephant",0.719424460431655,0.442840104919806,7.093675013
"Site 9","Kirk's dik-dik",7,108,"No elephant",6.48148148148148,0.468654228980855,5.914623085
"Site 9","Giraffe",0,108,"No elephant",0,0.468654228980855,5.914623085
"Site 9","Bushpig",1,108,"No elephant",0.925925925925926,0.468654228980855,5.914623085
"Site 9","Bushbuck",0,108,"No elephant",0,0.468654228980855,5.914623085
"Site 9","Impala",2,108,"No elephant",1.85185185185185,0.468654228980855,5.914623085
"Site 9","Eland",0,108,"No elephant",0,0.468654228980855,5.914623085
"Site 9","Plains zebra",0,108,"No elephant",0,0.468654228980855,5.914623085
"Site 9","Bush duiker",0,108,"No elephant",0,0.468654228980855,5.914623085
"Site 9","Greater kudu",2,108,"No elephant",1.85185185185185,0.468654228980855,5.914623085
"Site 9","Warthog",0,108,"No elephant",0,0.468654228980855,5.914623085
"Site 9","Klipspringer",0,108,"No elephant",0,0.468654228980855,5.914623085
